ophcf2_protein,beau_protein,evalue_ab,bitscore_ab,evalue_ba,bitscore_ba
KAF4583273.1,XP_008599932.1,0,2808,0,2818
KAF4583276.1,XP_008596622.1,5.07E-118,355,7.63E-133,392
KAF4583277.1,XP_008601161.1,0,573,0,573
KAF4583278.1,XP_008602657.1,0,1040,0,1040
KAF4583285.1,XP_008595783.1,6.96E-118,349,1.17E-116,345
KAF4583286.1,XP_008600361.1,9.24E-87,254,3.47E-67,204
KAF4583287.1,XP_008600362.1,0,991,0,976
KAF4583288.1,XP_008600363.1,2.81E-123,355,4.00E-126,363
KAF4583290.1,XP_008600364.1,0,671,0,688
KAF4583291.1,XP_008600365.1,0,1738,0,1737
KAF4583293.1,XP_008600071.1,6.35E-38,122,1.71E-43,136
KAF4583294.1,XP_008601107.1,0,1160,0,1139
KAF4583295.1,XP_008600067.1,8.04E-72,213,3.72E-87,251
KAF4583296.1,XP_008600066.1,1.55E-140,406,5.45E-138,399
KAF4583297.1,XP_008600065.1,1.64E-68,203,1.02E-74,219
KAF4583298.1,XP_008600052.1,0,504,0,504
KAF4583299.1,XP_008600051.1,6.59E-152,443,8.27E-135,399
KAF4583300.1,XP_008600050.1,5.82E-54,166,3.75E-54,166
KAF4583302.1,XP_008600048.1,1.23E-170,491,2.90E-159,462
KAF4584025.1,XP_008602018.1,9.29E-138,439,7.56E-131,419
KAF4584027.1,XP_008593964.1,1.70E-87,263,9.65E-90,269
KAF4584030.1,XP_008600077.1,0,1481,0,1431
KAF4584031.1,XP_008599088.1,0,706,0,714
KAF4584032.1,XP_008599093.1,0,852,0,751
KAF4584033.1,XP_008599091.1,0,994,0,938
KAF4584034.1,XP_008599090.1,0,1207,0,1274
KAF4584035.1,XP_008599089.1,0,1480,0,1459
KAF4584036.1,XP_008599095.1,0,677,0,681
KAF4584037.1,XP_008599094.1,6.37E-117,335,9.16E-117,335
KAF4584038.1,XP_008599096.1,3.38E-117,340,2.65E-117,340
KAF4584041.1,XP_008596309.1,1.62E-62,206,9.99E-59,196
KAF4584042.1,XP_008596343.1,1.22E-70,211,1.64E-75,223
KAF4584043.1,XP_008596340.1,0,1904,0,1888
KAF4584044.1,XP_008596339.1,5.84E-90,259,4.34E-90,259
KAF4584048.1,XP_008596336.1,0,584,0,575
KAF4584049.1,XP_008596335.1,2.52E-144,415,5.05E-145,416
KAF4584050.1,XP_008596337.1,0,1423,0,1410
KAF4584051.1,XP_008596333.1,5.35E-85,245,9.35E-78,226
KAF4584053.1,XP_008599106.1,9.37E-45,136,6.70E-45,136
KAF4584054.1,XP_008603192.1,4.54E-133,382,2.07E-133,383
KAF4584056.1,XP_008602674.1,0,674,0,674
KAF4584057.1,XP_008598402.1,0,1096,0,1048
KAF4584059.1,XP_008598399.1,0,1061,0,1056
KAF4584060.1,XP_008596691.1,2.57E-146,443,1.44E-148,448
KAF4584061.1,XP_008600391.1,9.02E-37,117,6.44E-37,117
KAF4584062.1,XP_008600392.1,1.29E-67,217,8.78E-68,218
KAF4584063.1,XP_008600393.1,3.90E-139,395,2.68E-139,395
KAF4584064.1,XP_008600394.1,0,2158,0,2330
KAF4584066.1,XP_008600395.1,6.10E-37,120,1.32E-31,107
KAF4584067.1,XP_008600397.1,0,928,0,928
KAF4584070.1,XP_008599630.1,0,751,0,746
KAF4584074.1,XP_008599078.1,2.93E-06,44.7,2.36E-06,44.7
KAF4584077.1,XP_008600399.1,0,1200,0,724
KAF4584078.1,XP_008600400.1,1.44E-43,139,1.11E-43,139
KAF4584079.1,XP_008598381.1,3.40E-144,411,4.83E-146,416
KAF4584080.1,XP_008595163.1,3.48E-122,351,7.33E-123,352
KAF4584081.1,XP_008595156.1,9.50E-101,307,4.16E-101,308
KAF4584083.1,XP_008595154.1,7.63E-60,188,1.12E-60,190
KAF4584084.1,XP_008595153.1,1.87E-111,323,8.17E-112,324
KAF4584085.1,XP_008595152.1,2.98E-72,209,2.25E-72,209
KAF4584086.1,XP_008595151.1,5.52E-161,448,3.94E-161,448
KAF4584088.1,XP_008595149.1,2.61E-84,243,1.85E-84,243
KAF4584091.1,XP_008599454.1,2.42E-138,406,1.74E-138,406
KAF4584095.1,XP_008600989.1,1.30E-19,82,8.67E-19,79
KAF4584096.1,XP_008598293.1,1.62E-135,398,2.62E-136,400
KAF4584097.1,XP_008599456.1,0,1521,0,1526
KAF4584098.1,XP_008599457.1,5.77E-89,285,2.56E-90,288
KAF4584103.1,XP_008599449.1,0,962,0,917
KAF4584104.1,XP_008599450.1,0,704,0,652
KAF4584107.1,XP_008599442.1,3.81E-122,363,3.00E-123,365
KAF4584109.1,XP_008599439.1,2.43E-75,256,2.97E-75,255
KAF4584111.1,XP_008599438.1,1.98E-63,187,1.41E-63,187
KAF4584112.1,XP_008599437.1,5.82E-148,432,6.81E-141,414
KAF4584114.1,XP_008599436.1,9.48E-169,493,5.10E-168,491
KAF4584118.1,XP_008599432.1,3.92E-39,149,2.21E-39,150
KAF4584119.1,XP_008599431.1,1.14E-121,339,5.02E-115,322
KAF4584121.1,XP_008597110.1,6.22E-78,234,4.38E-78,234
KAF4584122.1,XP_008599429.1,8.91E-41,138,8.60E-41,138
KAF4584123.1,XP_008599428.1,1.50E-18,79,9.41E-20,82.4
KAF4584124.1,XP_008599427.1,0,645,0,640
KAF4584127.1,XP_008599425.1,3.30E-97,294,6.29E-98,296
KAF4584129.1,XP_008599424.1,0,874,0,890
KAF4584130.1,XP_008599423.1,1.31E-87,286,6.68E-80,266
KAF4584131.1,XP_008599422.1,0,926,0,926
KAF4584132.1,XP_008599421.1,8.82E-141,447,5.54E-121,394
KAF4584133.1,XP_008598319.1,0,734,0,734
KAF4584134.1,XP_008598321.1,0,651,0,575
KAF4584137.1,XP_008598325.1,0,994,0,1003
KAF4584138.1,XP_008598327.1,2.67E-79,244,1.43E-88,268
KAF4584140.1,XP_008598730.1,0,805,0,805
KAF4584141.1,XP_008599589.1,4.75E-73,221,9.44E-74,223
KAF4584142.1,XP_008599202.1,7.27E-173,484,5.40E-174,487
KAF4584143.1,XP_008598744.1,1.81E-104,313,7.08E-103,308
KAF4584144.1,XP_008598745.1,1.50E-156,434,1.07E-156,434
KAF4584145.1,XP_008598746.1,0,720,0,688
KAF4584146.1,XP_008598747.1,0,1194,0,1185
KAF4584147.1,XP_008598748.1,3.59E-84,259,2.50E-85,261
KAF4584148.1,XP_008598749.1,5.13E-82,239,3.72E-82,239
KAF4584155.1,XP_008593770.1,5.11E-92,290,2.89E-94,296
KAF4584155.1,XP_008603369.1,1.13E-94,296,8.07E-95,296
KAF4584157.1,XP_008598751.1,2.34E-34,131,2.10E-38,142
KAF4584158.1,XP_008598752.1,0,691,0,658
KAF4584160.1,XP_008598754.1,0,775,0,774
KAF4584161.1,XP_008598755.1,1.05E-59,183,7.81E-60,183
KAF4584162.1,XP_008598756.1,0,885,0,897
KAF4584163.1,XP_008598757.1,1.19E-151,442,6.88E-152,442
KAF4584165.1,XP_008602156.1,2.60E-89,265,1.18E-94,278
KAF4584166.1,XP_008602157.1,2.81E-139,399,1.28E-140,402
KAF4584170.1,XP_008602160.1,3.53E-155,454,9.48E-155,453
KAF4584171.1,XP_008602166.1,6.25E-32,115,6.61E-29,107
KAF4584173.1,XP_008602164.1,0,627,0,627
KAF4584174.1,XP_008602162.1,0,996,0,988
KAF4584175.1,XP_008600978.1,1.13E-133,388,4.94E-134,389
KAF4584176.1,XP_008602168.1,2.22E-106,308,1.72E-106,308
KAF4584177.1,XP_008602169.1,7.21E-58,185,5.88E-58,185
KAF4584179.1,XP_008602171.1,5.95E-130,379,5.05E-130,379
KAF4584181.1,XP_008602175.1,8.94E-131,376,1.80E-136,390
KAF4584182.1,XP_008602176.1,0,1396,0,1396
KAF4584183.1,XP_008602177.1,1.14E-89,263,8.77E-90,263
KAF4584184.1,XP_008602178.1,0,1390,0,1377
KAF4584185.1,XP_008602179.1,0,566,0,555
KAF4584186.1,XP_008599594.1,0,795,0,795
KAF4584187.1,XP_008599595.1,0,1867,0,1901
KAF4584188.1,XP_008599598.1,0,1101,0,1074
KAF4584189.1,XP_008599607.1,6.50E-83,244,4.58E-83,244
KAF4584190.1,XP_008599606.1,0,877,0,860
KAF4584191.1,XP_008599605.1,0,872,0,895
KAF4584192.1,XP_008599604.1,1.42E-59,191,9.34E-63,199
KAF4584194.1,XP_008599600.1,0,682,0,662
KAF4584195.1,XP_008599599.1,0,2847,0,2823
KAF4584196.1,XP_008599608.1,3.68E-65,210,3.16E-57,189
KAF4584197.1,XP_008599612.1,8.79E-59,187,1.57E-78,237
KAF4584198.1,XP_008599613.1,4.45E-170,484,1.02E-162,465
KAF4584199.1,XP_008599614.1,3.51E-79,243,1.46E-75,233
KAF4584200.1,XP_008599617.1,1.50E-142,400,2.98E-143,401
KAF4584201.1,XP_008599616.1,4.82E-155,440,2.58E-150,428
KAF4584203.1,XP_008603579.1,4.09E-113,339,4.64E-121,359
KAF4584205.1,XP_008596835.1,1.64E-115,335,1.63E-115,335
KAF4584206.1,XP_008596834.1,0,679,0,679
KAF4584207.1,XP_008596833.1,4.82E-94,297,2.78E-98,308
KAF4584208.1,XP_008596832.1,0,762,0,762
KAF4584209.1,XP_008596831.1,0,773,0,814
KAF4584210.1,XP_008596830.1,2.62E-111,325,5.62E-111,323
KAF4584211.1,XP_008596829.1,0,900,0,939
KAF4584212.1,XP_008596828.1,1.33E-155,446,4.14E-153,440
KAF4584216.1,XP_008596823.1,0,770,0,773
KAF4584219.1,XP_008596822.1,0,754,0,756
KAF4584220.1,XP_008596559.1,1.11E-144,400,7.94E-145,400
KAF4584221.1,XP_008596560.1,2.42E-165,471,9.82E-165,469
KAF4584222.1,XP_008596561.1,0,1013,0,967
KAF4584223.1,XP_008596562.1,0,806,0,806
KAF4584224.1,XP_008596815.1,9.49E-139,388,6.59E-139,388
KAF4584225.1,XP_008596816.1,4.50E-100,286,3.25E-100,286
KAF4584226.1,XP_008596817.1,2.66E-62,183,1.90E-62,183
KAF4584227.1,XP_008596818.1,0,887,0,867
KAF4584228.1,XP_008596819.1,0,1287,0,1263
KAF4584230.1,XP_008596820.1,0,713,0,713
KAF4584231.1,XP_008596821.1,2.73E-103,305,9.83E-103,303
KAF4584232.1,XP_008596557.1,2.24E-95,279,5.01E-95,278
KAF4584233.1,XP_008596556.1,0,2413,0,2437
KAF4584234.1,XP_008596555.1,0,1498,0,1483
KAF4584235.1,XP_008598560.1,0,634,0,634
KAF4584236.1,XP_008596554.1,0,617,0,617
KAF4584237.1,XP_008601587.1,0,1191,0,1191
KAF4584238.1,XP_008603565.1,1.91E-173,504,1.04E-164,481
KAF4584239.1,XP_008603566.1,1.48E-34,133,3.85E-35,134
KAF4584240.1,XP_008596840.1,0,743,0,726
KAF4584241.1,XP_008603634.1,4.34E-29,110,1.47E-29,111
KAF4584244.1,XP_008603632.1,2.57E-50,157,2.08E-50,157
KAF4584245.1,XP_008603260.1,0,925,0,925
KAF4584250.1,XP_008603623.1,6.33E-73,222,3.21E-73,222
KAF4584251.1,XP_008595619.1,0,684,0,684
KAF4584254.1,XP_008596849.1,0,712,0,712
KAF4584255.1,XP_008600128.1,0,513,0,513
KAF4584257.1,XP_008602001.1,1.79E-139,394,4.32E-133,377
KAF4584260.1,XP_008600580.1,1.16E-109,308,8.29E-110,308
KAF4584261.1,XP_008600160.1,2.11E-93,274,2.60E-103,299
KAF4584262.1,XP_008601659.1,0,766,0,780
KAF4584263.1,XP_008601658.1,0,1717,0,1663
KAF4584264.1,XP_008600162.1,0,868,0,857
KAF4584265.1,XP_008603429.1,3.56E-72,209,2.54E-72,209
KAF4584268.1,XP_008601660.1,0,912,0,912
KAF4584269.1,XP_008601661.1,4.85E-143,429,5.51E-135,407
KAF4584270.1,XP_008601664.1,0,613,0,616
KAF4584271.1,XP_008601665.1,3.93E-153,432,1.65E-153,433
KAF4584273.1,XP_008601666.1,6.27E-73,227,5.23E-73,227
KAF4584274.1,XP_008601667.1,3.03E-85,260,5.30E-95,284
KAF4584275.1,XP_008601668.1,1.45E-140,405,4.65E-152,434
KAF4584277.1,XP_008599696.1,0,1694,0,1701
KAF4584278.1,XP_008599697.1,0,1293,0,1293
KAF4584279.1,XP_008599698.1,7.15E-110,322,2.15E-110,323
KAF4584280.1,XP_008599699.1,5.36E-163,460,3.76E-163,460
KAF4584281.1,XP_008599694.1,0,825,0,816
KAF4584282.1,XP_008599693.1,0,776,0,749
KAF4584283.1,XP_008599692.1,0,538,0,576
KAF4584284.1,XP_008599691.1,0,598,0,585
KAF4584285.1,XP_008597840.1,4.17E-64,201,1.44E-64,202
KAF4584286.1,XP_008597838.1,3.43E-164,494,1.83E-170,510
KAF4584287.1,XP_008599689.1,7.36E-107,309,1.02E-106,309
KAF4584288.1,XP_008599690.1,0,710,0,689
KAF4584290.1,XP_008597841.1,0,595,0,600
KAF4584291.1,XP_008597842.1,1.18E-158,442,1.24E-158,442
KAF4584292.1,XP_008597843.1,2.04E-132,384,1.06E-125,366
KAF4584293.1,XP_008597844.1,1.40E-128,374,3.03E-143,411
KAF4584294.1,XP_008597845.1,0,509,0,535
KAF4584295.1,XP_008597846.1,7.12E-55,182,1.63E-58,191
KAF4584296.1,XP_008601420.1,0,690,0,689
KAF4584297.1,XP_008601421.1,0,1334,0,1348
KAF4584298.1,XP_008601422.1,1.12E-62,200,1.80E-70,219
KAF4584299.1,XP_008601423.1,1.67E-135,415,3.18E-143,435
KAF4584301.1,XP_008601425.1,0,1995,0,1987
KAF4584303.1,XP_008601427.1,0,1971,0,2055
KAF4584304.1,XP_008595356.1,0,804,0,796
KAF4584304.1,XP_008597895.1,0,845,0,848
KAF4584305.1,XP_008597894.1,2.02E-157,444,1.49E-157,444
KAF4584306.1,XP_008598300.1,9.29E-179,507,0,526
KAF4584307.1,XP_008598301.1,0,742,0,742
KAF4584308.1,XP_008598302.1,0,998,0,1002
KAF4584309.1,XP_008598725.1,0,546,0,546
KAF4584311.1,XP_008598303.1,0,563,0,563
KAF4584312.1,XP_008598304.1,0,544,0,575
KAF4584314.1,XP_008598306.1,1.59E-50,168,1.01E-52,173
KAF4584315.1,XP_008598307.1,0,874,0,845
KAF4584317.1,XP_008598309.1,1.25E-111,321,1.51E-104,303
KAF4584318.1,XP_008598312.1,0,595,0,556
KAF4584319.1,XP_008598313.1,1.32E-138,404,1.74E-134,393
KAF4584320.1,XP_008598314.1,0,1643,0,1643
KAF4584322.1,XP_008602078.1,2.84E-79,233,2.05E-79,233
KAF4584323.1,XP_008602099.1,1.11E-57,196,6.85E-58,196
KAF4584324.1,XP_008602070.1,0,1496,0,1495
KAF4584325.1,XP_008602069.1,5.45E-102,306,2.59E-98,296
KAF4584326.1,XP_008602068.1,0,1157,0,1166
KAF4584327.1,XP_008602067.1,0,1003,0,1006
KAF4584328.1,XP_008602066.1,0,747,0,731
KAF4584332.1,XP_008602061.1,2.63E-34,117,3.89E-37,124
KAF4584333.1,XP_008602059.1,0,989,0,987
KAF4584334.1,XP_008602058.1,1.35E-56,177,1.20E-48,157
KAF4584336.1,XP_008602056.1,0,2016,0,2021
KAF4584337.1,XP_008602055.1,1.30E-37,131,1.21E-49,162
KAF4584338.1,XP_008602052.1,0,540,0,540
KAF4584339.1,XP_008602051.1,0,1277,0,1301
KAF4584340.1,XP_008602050.1,0,717,0,707
KAF4584343.1,XP_008601875.1,0,874,0,874
KAF4584344.1,XP_008601874.1,0,656,0,656
KAF4584345.1,XP_008601873.1,2.31E-91,259,1.81E-91,259
KAF4584346.1,XP_008601871.1,8.15E-101,294,1.52E-109,316
KAF4584347.1,XP_008601870.1,0,648,0,648
KAF4584349.1,XP_008601868.1,1.36E-166,462,9.71E-167,462
KAF4584350.1,XP_008601910.1,0,1010,0,1007
KAF4584351.1,XP_008601909.1,1.08E-21,82.4,6.84E-23,85.1
KAF4584352.1,XP_008601908.1,1.53E-75,224,1.15E-75,224
KAF4584353.1,XP_008601907.1,1.23E-121,340,8.90E-122,340
KAF4584354.1,XP_008601906.1,4.62E-37,123,1.43E-37,124
KAF4584355.1,XP_008601905.1,0,1673,0,1695
KAF4584357.1,XP_008601903.1,1.17E-37,119,4.43E-42,130
KAF4584358.1,XP_008601901.1,0,1250,0,1239
KAF4584363.1,XP_008601898.1,0,2619,0,2602
KAF4584365.1,XP_008601897.1,5.36E-95,278,4.47E-95,278
KAF4584366.1,XP_008601896.1,1.11E-145,402,7.79E-146,402
KAF4584367.1,XP_008601895.1,8.25E-43,134,1.99E-43,135
KAF4584368.1,XP_008601894.1,0,556,0,555
KAF4584369.1,XP_008601893.1,1.99E-45,143,5.96E-41,132
KAF4584370.1,XP_008601892.1,1.46E-30,110,1.54E-34,120
KAF4584371.1,XP_008601891.1,9.37E-84,249,4.09E-76,229
KAF4584373.1,XP_008601887.1,1.20E-124,368,3.69E-123,364
KAF4584374.1,XP_008601889.1,0,568,0,540
KAF4584375.1,XP_008595801.1,0,582,0,582
KAF4584377.1,XP_008601912.1,4.61E-87,256,2.67E-89,262
KAF4584378.1,XP_008601913.1,0,850,0,846
KAF4584379.1,XP_008601914.1,0,554,0,554
KAF4584380.1,XP_008601915.1,2.44E-58,181,4.46E-58,180
KAF4584382.1,XP_008596692.1,1.66E-165,501,1.68E-165,502
KAF4584383.1,XP_008596359.1,2.76E-15,66.6,1.91E-15,66.6
KAF4584384.1,XP_008601916.1,7.08E-173,483,2.04E-180,502
KAF4584386.1,XP_008601917.1,0,657,0,657
KAF4584387.1,XP_008601902.1,3.08E-106,301,2.12E-106,301
KAF4584388.1,XP_008601919.1,0,541,2.76E-180,513
KAF4584390.1,XP_008601926.1,0,900,0,900
KAF4584391.1,XP_008601927.1,0,1254,0,1254
KAF4584392.1,XP_008601596.1,1.60E-23,84.3,1.24E-23,84.3
KAF4584393.1,XP_008601597.1,2.61E-117,339,2.76E-118,342
KAF4584395.1,XP_008601599.1,0,1869,0,1874
KAF4584396.1,XP_008601600.1,2.97E-25,95.5,7.98E-29,104
KAF4584397.1,XP_008601601.1,3.96E-97,284,3.77E-95,279
KAF4584400.1,XP_008601603.1,0,801,0,864
KAF4584401.1,XP_008602403.1,0,583,0,605
KAF4584402.1,XP_008598661.1,3.34E-38,133,2.17E-38,133
KAF4584403.1,XP_008601713.1,6.01E-97,293,5.08E-92,280
KAF4584405.1,XP_008601605.1,0,1274,0,1291
KAF4584406.1,XP_008601606.1,0,1011,0,987
KAF4584407.1,XP_008601607.1,0,561,0,561
KAF4584408.1,XP_008601608.1,0,2036,0,2074
KAF4584409.1,XP_008601611.1,0,811,0,837
KAF4584410.1,XP_008601612.1,1.39E-147,425,2.75E-149,429
KAF4584411.1,XP_008596621.1,3.63E-64,196,2.86E-73,218
KAF4584413.1,XP_008601613.1,6.05E-98,280,4.49E-98,280
KAF4584414.1,XP_008596620.1,1.74E-43,147,1.49E-41,141
KAF4584415.1,XP_008596916.1,0,1307,0,1307
KAF4584416.1,XP_008596917.1,0,1181,0,1161
KAF4584417.1,XP_008596918.1,3.50E-144,405,1.64E-155,434
KAF4584418.1,XP_008596919.1,2.79E-62,201,6.18E-55,181
KAF4584419.1,XP_008596920.1,0,692,0,692
KAF4584420.1,XP_008596921.1,0,764,0,799
KAF4584421.1,XP_008596922.1,9.15E-177,492,1.94E-170,476
KAF4584423.1,XP_008596924.1,5.44E-139,408,5.19E-138,405
KAF4584424.1,XP_008596925.1,1.71E-31,110,4.29E-33,115
KAF4584425.1,XP_008596926.1,1.84E-147,424,1.31E-147,424
KAF4584426.1,XP_008596927.1,0,1059,0,1047
KAF4584427.1,XP_008596928.1,1.32E-91,282,1.37E-109,328
KAF4584428.1,XP_008596929.1,1.73E-31,103,1.25E-31,103
KAF4584429.1,XP_008596930.1,2.87E-64,191,1.13E-68,202
KAF4584430.1,XP_008596936.1,6.47E-133,398,2.82E-143,424
KAF4584437.1,XP_008602713.1,1.65E-168,473,0,508
KAF4584439.1,XP_008596947.1,9.03E-65,197,1.56E-62,192
KAF4584440.1,XP_008596946.1,6.60E-89,259,1.99E-87,254
KAF4584441.1,XP_008596945.1,1.93E-105,303,1.57E-105,303
KAF4584442.1,XP_008602600.1,1.31E-13,63.2,1.37E-17,73.6
KAF4584443.1,XP_008602603.1,0,1493,0,1439
KAF4584447.1,XP_008599504.1,0,596,0,584
KAF4584448.1,XP_008599502.1,6.26E-55,168,4.72E-55,168
KAF4584449.1,XP_008599501.1,0,704,0,704
KAF4584450.1,XP_008599500.1,1.27E-175,546,2.12E-173,540
KAF4584451.1,XP_008599499.1,1.88E-132,400,3.36E-124,379
KAF4584452.1,XP_008599497.1,7.46E-129,410,3.86E-125,399
KAF4584453.1,XP_008599496.1,2.33E-86,246,4.14E-77,223
KAF4584454.1,XP_008599495.1,9.80E-124,349,9.18E-124,349
KAF4584455.1,XP_008599494.1,0,744,0,739
KAF4584456.1,XP_008599493.1,1.63E-120,339,1.04E-120,339
KAF4584458.1,XP_008600006.1,1.68E-115,335,1.39E-115,335
KAF4584459.1,XP_008595868.1,0,1166,0,1187
KAF4584461.1,XP_008600012.1,2.88E-141,406,8.59E-135,390
KAF4584462.1,XP_008600011.1,0,671,0,664
KAF4584463.1,XP_008600010.1,1.85E-112,321,2.18E-108,310
KAF4584464.1,XP_008600009.1,0,558,0,556
KAF4584465.1,XP_008600008.1,0,1944,0,1989
KAF4584466.1,XP_008595867.1,7.15E-34,126,3.76E-39,139
KAF4584467.1,XP_008600015.1,0,1065,0,1059
KAF4584468.1,XP_008600017.1,0,633,0,636
KAF4584470.1,XP_008600021.1,0,1271,0,1256
KAF4584471.1,XP_008600022.1,0,1446,0,1461
KAF4584472.1,XP_008600023.1,0,663,0,636
KAF4584473.1,XP_008600025.1,6.38E-144,414,5.54E-132,384
KAF4584474.1,XP_008600026.1,3.47E-62,187,2.31E-62,187
KAF4584475.1,XP_008596000.1,0,6498,0,5474
KAF4584476.1,XP_008596003.1,0,676,0,681
KAF4584477.1,XP_008596005.1,0,929,0,927
KAF4584478.1,XP_008600016.1,0,664,0,648
KAF4584480.1,XP_008596007.1,4.52E-126,354,3.20E-126,354
KAF4584481.1,XP_008596008.1,1.90E-175,497,2.44E-176,499
KAF4584482.1,XP_008596009.1,2.81E-37,119,1.58E-40,127
KAF4584483.1,XP_008596013.1,1.54E-147,417,1.44E-153,431
KAF4584485.1,XP_008596015.1,0,1585,0,1617
KAF4584486.1,XP_008596016.1,2.03E-65,194,1.43E-65,194
KAF4584487.1,XP_008596022.1,0,1041,0,1041
KAF4584489.1,XP_008596023.1,7.56E-128,373,4.45E-128,373
KAF4584490.1,XP_008596024.1,0,608,0,626
KAF4584491.1,XP_008596025.1,3.04E-161,457,6.44E-161,456
KAF4584493.1,XP_008596029.1,0,570,0,565
KAF4584494.1,XP_008596031.1,2.68E-79,231,3.92E-82,239
KAF4584495.1,XP_008596032.1,4.83E-68,215,3.53E-75,233
KAF4584497.1,XP_008596036.1,2.58E-111,316,1.83E-111,316
KAF4584498.1,XP_008596037.1,0,834,0,800
KAF4584499.1,XP_008596039.1,3.65E-146,417,1.42E-149,426
KAF4584504.1,XP_008595857.1,0,768,0,782
KAF4584505.1,XP_008595856.1,0,687,0,706
KAF4584507.1,XP_008595854.1,2.62E-146,413,1.73E-144,408
KAF4585330.1,XP_008595368.1,0,1010,0,952
KAF4585331.1,XP_008595367.1,0,723,0,731
KAF4585335.1,XP_008595366.1,4.33E-140,414,2.51E-144,425
KAF4585336.1,XP_008595365.1,4.41E-100,302,2.69E-99,300
KAF4585337.1,XP_008597774.1,7.07E-56,179,1.88E-54,175
KAF4585338.1,XP_008597767.1,3.68E-80,255,5.02E-78,249
KAF4585339.1,XP_008597768.1,0,583,0,580
KAF4585340.1,XP_008597770.1,0,919,0,875
KAF4585341.1,XP_008597771.1,1.03E-160,450,7.90E-161,450
KAF4585342.1,XP_008597772.1,7.42E-140,409,2.80E-126,374
KAF4585343.1,XP_008597773.1,0,704,0,680
KAF4585344.1,XP_008597766.1,8.81E-130,387,6.43E-130,387
KAF4585345.1,XP_008597765.1,8.75E-42,139,1.14E-48,155
KAF4585347.1,XP_008597762.1,0,669,0,621
KAF4585350.1,XP_008597761.1,0,1675,0,1675
KAF4585351.1,XP_008597760.1,0,689,0,676
KAF4585352.1,XP_008597758.1,2.98E-141,396,1.76E-142,399
KAF4585353.1,XP_008597757.1,0,1046,0,1061
KAF4585356.1,XP_008597754.1,4.06E-164,459,2.26E-162,455
KAF4585357.1,XP_008597753.1,3.27E-40,125,2.33E-40,125
KAF4585358.1,XP_008597752.1,0,572,0,577
KAF4585359.1,XP_008597751.1,0,3192,0,3201
KAF4585361.1,XP_008597749.1,8.58E-58,180,1.00E-54,172
KAF4585362.1,XP_008597748.1,0,755,0,755
KAF4585363.1,XP_008597747.1,0,1310,0,1310
KAF4585364.1,XP_008597746.1,5.83E-153,425,4.15E-153,425
KAF4585365.1,XP_008597745.1,1.80E-27,108,6.27E-28,108
KAF4585366.1,XP_008597744.1,2.18E-19,88.2,7.21E-18,83.2
KAF4585367.1,XP_008597741.1,1.10E-168,475,4.00E-164,463
KAF4585368.1,XP_008597740.1,0,1679,0,1619
KAF4585371.1,XP_008601952.1,4.01E-28,95.1,2.55E-28,95.1
KAF4585372.1,XP_008601951.1,4.46E-102,291,3.25E-96,276
KAF4585374.1,XP_008601945.1,2.08E-90,279,7.61E-91,280
KAF4585376.1,XP_008601940.1,3.65E-47,159,1.70E-56,182
KAF4585377.1,XP_008601939.1,0,606,0,606
KAF4585379.1,XP_008601938.1,0,1096,0,1092
KAF4585380.1,XP_008601937.1,0,572,0,568
KAF4585382.1,XP_008601935.1,0,626,0,624
KAF4585383.1,XP_008601933.1,2.38E-153,447,1.35E-157,457
KAF4585384.1,XP_008601932.1,7.01E-143,408,1.35E-143,409
KAF4585385.1,XP_008601931.1,0,1179,0,1170
KAF4585387.1,XP_008601580.1,0,520,0,520
KAF4585388.1,XP_008601582.1,0,1392,0,1356
KAF4585389.1,XP_008601581.1,0,841,0,824
KAF4585390.1,XP_008601584.1,1.74E-64,194,1.58E-54,169
KAF4585391.1,XP_008601558.1,0,682,0,719
KAF4585392.1,XP_008601556.1,1.28E-82,247,1.06E-82,247
KAF4585393.1,XP_008595474.1,0,1216,0,1216
KAF4585394.1,XP_008599848.1,0,516,3.94E-177,505
KAF4585396.1,XP_008596522.1,5.02E-42,145,4.53E-42,145
KAF4585396.1,XP_008602653.1,1.46E-43,149,5.53E-47,157
KAF4585398.1,XP_008601555.1,0,739,0,739
KAF4585399.1,XP_008601554.1,1.33E-150,442,3.05E-151,444
KAF4585400.1,XP_008601553.1,0,1680,0,1685
KAF4585401.1,XP_008601552.1,0,793,0,811
KAF4585402.1,XP_008601551.1,0,677,0,620
KAF4585403.1,XP_008601547.1,0,615,0,630
KAF4585404.1,XP_008601549.1,0,1119,0,1118
KAF4585406.1,XP_008601545.1,4.47E-108,322,5.84E-108,322
KAF4585407.1,XP_008601550.1,0,537,0,537
KAF4585410.1,XP_008603512.1,3.76E-105,295,2.69E-105,295
KAF4585411.1,XP_008603511.1,0,1753,0,1768
KAF4585413.1,XP_008601544.1,1.39E-145,415,4.50E-137,394
KAF4585414.1,XP_008601546.1,0,645,0,645
KAF4585416.1,XP_008599115.1,6.85E-123,358,4.45E-130,376
KAF4585418.1,XP_008603560.1,1.34E-103,310,1.07E-103,310
KAF4585419.1,XP_008603262.1,0,512,0,516
KAF4585423.1,XP_008594195.1,0,577,0,579
KAF4585424.1,XP_008600591.1,8.36E-64,192,1.11E-71,211
KAF4585425.1,XP_008599622.1,1.85E-168,469,1.47E-168,469
KAF4585430.1,XP_008594194.1,0,1530,0,1576
KAF4585432.1,XP_008603515.1,8.21E-34,127,4.06E-34,127
