"start","end","attributes_robin","attributes_ncbi"
116,1058,"Ophio5|1","XA68_10000"
21656,22852,"Ophio5|2130","XA68_12116"
24333,26612,"Ophio5|2131","XA68_12117"
28000,29507,"Ophio5|2132","XA68_12118"
29685,30671,"Ophio5|2133","XA68_12119"
32580,33728,"Ophio5|2134","XA68_12120"
38,973,"Ophio5|2135","XA68_12121"
503,964,"Ophio5|2136","XA68_12122"
3132,6066,"Ophio5|2137","XA68_12123"
6414,7324,"Ophio5|2138","XA68_12124"
7414,10831,"Ophio5|2139","XA68_12125"
11223,14687,"Ophio5|2140","XA68_12126"
15663,17598,"Ophio5|2141","XA68_12127"
17974,20149,"Ophio5|2142","XA68_12128"
21663,23867,"Ophio5|2143","XA68_12129"
24352,25793,"Ophio5|2144","XA68_12130"
26068,27082,"Ophio5|2145","XA68_12131"
29626,31884,"Ophio5|2146","XA68_12132"
32688,33801,"Ophio5|2147","XA68_12133"
150,866,"Ophio5|2148","XA68_12134"
364,2710,"Ophio5|2149","XA68_12135"
3830,6837,"Ophio5|2150","XA68_12136"
7365,8723,"Ophio5|2151","XA68_12137"
9506,13112,"Ophio5|2152","XA68_12138"
13517,14586,"Ophio5|2153","XA68_12139"
15868,19227,"Ophio5|2154","XA68_12140"
20120,20927,"Ophio5|2155","XA68_12141"
22937,23625,"Ophio5|2156","XA68_12142"
24004,25295,"Ophio5|2157","XA68_12143"
27496,27912,"Ophio5|2158","XA68_12144"
28784,30216,"Ophio5|2159","XA68_12145"
31883,33676,"Ophio5|2160","XA68_12146"
558,872,"Ophio5|2161","XA68_12147"
1118,2467,"Ophio5|2162","XA68_12148"
3269,4263,"Ophio5|2163","XA68_12149"
4597,5407,"Ophio5|2164","XA68_12150"
5577,7822,"Ophio5|2165","XA68_12151"
8126,9247,"Ophio5|2166","XA68_12152"
9626,12246,"Ophio5|2167","XA68_12153"
13424,14830,"Ophio5|2168","XA68_12154"
15014,15652,"Ophio5|2169","XA68_12155"
15889,18126,"Ophio5|2170","XA68_12156"
18790,20655,"Ophio5|2171","XA68_12157"
22079,23224,"Ophio5|2172","XA68_12158"
23730,25259,"Ophio5|2173","XA68_12159"
25419,26733,"Ophio5|2174","XA68_12160"
27451,28911,"Ophio5|2175","XA68_12161"
29973,32444,"Ophio5|2176","XA68_12162"
34708,35883,"Ophio5|2177","XA68_12163"
36401,38212,"Ophio5|2178","XA68_12164"
40618,44104,"Ophio5|2179","XA68_12165"
45683,47655,"Ophio5|2180","XA68_12166"
48067,49984,"Ophio5|2181","XA68_12167"
50817,52386,"Ophio5|2182","XA68_12168"
52830,53937,"Ophio5|2183","XA68_12169"
54625,55699,"Ophio5|2184","XA68_12170"
56675,59204,"Ophio5|2185","XA68_12171"
61632,63542,"Ophio5|2186","XA68_12172"
64875,66428,"Ophio5|2187","XA68_12173"
67016,68067,"Ophio5|2188","XA68_12174"
68284,69557,"Ophio5|2189","XA68_12175"
70072,72390,"Ophio5|2190","XA68_12176"
72836,73349,"Ophio5|2191","XA68_12177"
73618,74924,"Ophio5|2192","XA68_12178"
75343,77069,"Ophio5|2193","XA68_12179"
77832,78953,"Ophio5|2194","XA68_12180"
79194,80432,"Ophio5|2195","XA68_12181"
81267,82559,"Ophio5|2196","XA68_12182"
752,1027,"Ophio5|2197","XA68_12183"
1740,5521,"Ophio5|2198","XA68_12184"
5921,6328,"Ophio5|2199","XA68_12185"
6520,9206,"Ophio5|2200","XA68_12186"
9491,10221,"Ophio5|2201","XA68_12187"
10421,12139,"Ophio5|2202","XA68_12188"
12793,13066,"Ophio5|2203","XA68_12189"
14189,16002,"Ophio5|2204","XA68_12190"
17109,19003,"Ophio5|2205","XA68_12191"
21756,22145,"Ophio5|2206","XA68_12192"
22629,23552,"Ophio5|2207","XA68_12193"
23916,24595,"Ophio5|2208","XA68_12194"
24899,25639,"Ophio5|2209","XA68_12195"
25987,26681,"Ophio5|2210","XA68_12196"
26964,29095,"Ophio5|2211","XA68_12197"
29626,30036,"Ophio5|2212","XA68_12198"
651,1046,"Ophio5|2213","XA68_12199"
1726,2640,"Ophio5|2214","XA68_12200"
3988,4426,"Ophio5|2215","XA68_12201"
5059,6886,"Ophio5|2216","XA68_12202"
7222,7898,"Ophio5|2217","XA68_12203"
11086,12098,"Ophio5|2218","XA68_12204"
13049,13655,"Ophio5|2219","XA68_12205"
14968,16016,"Ophio5|2220","XA68_12206"
18637,19263,"Ophio5|2221","XA68_12207"
20396,21058,"Ophio5|2222","XA68_12208"
21563,23193,"Ophio5|2223","XA68_12209"
23366,24224,"Ophio5|2224","XA68_12210"
24703,25266,"Ophio5|2225","XA68_12211"
25887,27011,"Ophio5|2226","XA68_12212"
27530,28811,"Ophio5|2227","XA68_12213"
28976,29565,"Ophio5|2228","XA68_12214"
29819,30870,"Ophio5|2229","XA68_12215"
31918,32248,"Ophio5|2230","XA68_12216"
32974,33461,"Ophio5|2231","XA68_12217"
90,851,"Ophio5|2232","XA68_12218"
24,1503,"Ophio5|2233","XA68_12219"
3598,5592,"Ophio5|2234","XA68_12220"
5617,6240,"Ophio5|2235","XA68_12221"
6609,7007,"Ophio5|2236","XA68_12222"
7248,10226,"Ophio5|2237","XA68_12223"
10372,11109,"Ophio5|2238","XA68_12224"
12606,13191,"Ophio5|2239","XA68_12225"
13475,13839,"Ophio5|2240","XA68_12226"
14243,15184,"Ophio5|2241","XA68_12227"
15656,17385,"Ophio5|2242","XA68_12228"
17955,18748,"Ophio5|2243","XA68_12229"
19023,21751,"Ophio5|2244","XA68_12230"
22189,25791,"Ophio5|2245","XA68_12231"
25816,26512,"Ophio5|2246","XA68_12232"
27044,27307,"Ophio5|2247","XA68_12233"
27593,33102,"Ophio5|2248","XA68_12234"
19,897,"Ophio5|2249","XA68_12235"
2218,7613,"Ophio5|2250","XA68_12236"
8690,10159,"Ophio5|2251","XA68_12237"
10445,11684,"Ophio5|2252","XA68_12238"
11782,12396,"Ophio5|2253","XA68_12239"
13125,15237,"Ophio5|2254","XA68_12240"
16137,20825,"Ophio5|2255","XA68_12241"
21574,22467,"Ophio5|2256","XA68_12242"
22469,23761,"Ophio5|2257","XA68_12243"
24375,27008,"Ophio5|2258","XA68_12244"
28138,28768,"Ophio5|2259","XA68_12245"
28959,29832,"Ophio5|2260","XA68_12246"
30387,33442,"Ophio5|2261","XA68_12247"
211,837,"Ophio5|2262","XA68_12248"
423,830,"Ophio5|2263","XA68_12249"
5290,7323,"Ophio5|2264","XA68_12250"
8002,9442,"Ophio5|2265","XA68_12251"
10900,12725,"Ophio5|2266","XA68_12252"
13293,14810,"Ophio5|2267","XA68_12253"
15211,17340,"Ophio5|2268","XA68_12254"
18130,19004,"Ophio5|2269","XA68_12255"
19150,20632,"Ophio5|2270","XA68_12256"
21702,22888,"Ophio5|2271","XA68_12257"
23077,24078,"Ophio5|2272","XA68_12258"
24953,25343,"Ophio5|2273","XA68_12259"
26935,27531,"Ophio5|2274","XA68_12260"
27885,29767,"Ophio5|2275","XA68_12261"
30468,31619,"Ophio5|2276","XA68_12262"
32172,33098,"Ophio5|2277","XA68_12263"
560,2425,"Ophio5|2278","XA68_12264"
4384,5217,"Ophio5|2279","XA68_12265"
6273,10482,"Ophio5|2280","XA68_12266"
12805,13338,"Ophio5|2281","XA68_12267"
13682,14087,"Ophio5|2282","XA68_12268"
14198,18392,"Ophio5|2283","XA68_12269"
18420,19028,"Ophio5|2284","XA68_12270"
19733,23357,"Ophio5|2285","XA68_12271"
24379,26600,"Ophio5|2286","XA68_12272"
27153,28517,"Ophio5|2287","XA68_12273"
29107,30209,"Ophio5|2288","XA68_12274"
31389,32738,"Ophio5|2289","XA68_12275"
6891,8308,"Ophio5|2290","XA68_12276"
8652,11140,"Ophio5|2291","XA68_12277"
11176,12695,"Ophio5|2292","XA68_12278"
12978,14927,"Ophio5|2293","XA68_12279"
16695,17789,"Ophio5|2294","XA68_12280"
18678,20171,"Ophio5|2295","XA68_12281"
21445,22788,"Ophio5|2296","XA68_12282"
22802,23194,"Ophio5|2297","XA68_12283"
23386,25128,"Ophio5|2298","XA68_12284"
26793,30362,"Ophio5|2299","XA68_12285"
636,3179,"Ophio5|2300","XA68_12286"
4285,6442,"Ophio5|2301","XA68_12287"
7193,7684,"Ophio5|2302","XA68_12288"
8654,10399,"Ophio5|2303","XA68_12289"
10826,11710,"Ophio5|2304","XA68_12290"
12065,13609,"Ophio5|2305","XA68_12291"
15481,16605,"Ophio5|2306","XA68_12292"
18174,20036,"Ophio5|2307","XA68_12293"
21976,22552,"Ophio5|2308","XA68_12294"
23803,25350,"Ophio5|2309","XA68_12295"
26485,28968,"Ophio5|2310","XA68_12296"
29174,29590,"Ophio5|2311","XA68_12297"
29836,31764,"Ophio5|2312","XA68_12298"
767,1614,"Ophio5|2313","XA68_12299"
1821,2997,"Ophio5|2314","XA68_12300"
3670,8686,"Ophio5|2315","XA68_12301"
10578,10944,"Ophio5|2316","XA68_12302"
14548,18822,"Ophio5|2317","XA68_12303"
19601,21250,"Ophio5|2318","XA68_12304"
21798,23606,"Ophio5|2319","XA68_12305"
25193,25705,"Ophio5|2320","XA68_12306"
26155,29700,"Ophio5|2321","XA68_12307"
31358,31935,"Ophio5|2322","XA68_12308"
374,2916,"Ophio5|2323","XA68_12309"
3589,4957,"Ophio5|2324","XA68_12310"
5364,6561,"Ophio5|2325","XA68_12311"
7432,8445,"Ophio5|2326","XA68_12312"
10664,12228,"Ophio5|2327","XA68_12313"
14594,15355,"Ophio5|2328","XA68_12314"
15706,18379,"Ophio5|2329","XA68_12315"
18696,19496,"Ophio5|2330","XA68_12316"
19785,20919,"Ophio5|2331","XA68_12317"
21102,23786,"Ophio5|2332","XA68_12318"
24088,26147,"Ophio5|2333","XA68_12319"
26814,31611,"Ophio5|2334","XA68_12320"
421,722,"Ophio5|2335","XA68_12321"
4552,5463,"Ophio5|2336","XA68_12322"
5799,6929,"Ophio5|2337","XA68_12323"
8211,9086,"Ophio5|2338","XA68_12324"
17971,19864,"Ophio5|2339","XA68_12325"
21094,22554,"Ophio5|2340","XA68_12326"
24849,25301,"Ophio5|2341","XA68_12327"
29495,29888,"Ophio5|2342","XA68_12328"
30809,31459,"Ophio5|2343","XA68_12329"
33060,34902,"Ophio5|2344","XA68_12330"
36040,37136,"Ophio5|2345","XA68_12331"
39406,41226,"Ophio5|2346","XA68_12332"
42069,42929,"Ophio5|2347","XA68_12333"
44388,46157,"Ophio5|2348","XA68_12334"
48008,50050,"Ophio5|2349","XA68_12335"
51018,51394,"Ophio5|2350","XA68_12336"
51660,52769,"Ophio5|2351","XA68_12337"
54006,57996,"Ophio5|2352","XA68_12338"
59519,61848,"Ophio5|2353","XA68_12339"
62092,63757,"Ophio5|2354","XA68_12340"
65861,67578,"Ophio5|2355","XA68_12341"
69415,70434,"Ophio5|2356","XA68_12342"
70529,72587,"Ophio5|2357","XA68_12343"
73468,75369,"Ophio5|2358","XA68_12344"
76846,77274,"Ophio5|2359","XA68_12345"
77531,78971,"Ophio5|2360","XA68_12346"
79833,82043,"Ophio5|2361","XA68_12347"
82494,83702,"Ophio5|2362","XA68_12348"
84866,85189,"Ophio5|2363","XA68_12349"
86639,87131,"Ophio5|2364","XA68_12350"
89206,90467,"Ophio5|2365","XA68_12351"
91190,92543,"Ophio5|2366","XA68_12352"
93027,94598,"Ophio5|2367","XA68_12353"
95354,96880,"Ophio5|2368","XA68_12354"
97235,99043,"Ophio5|2369","XA68_12355"
99462,100933,"Ophio5|2370","XA68_12356"
103762,105286,"Ophio5|2371","XA68_12357"
105370,106176,"Ophio5|2372","XA68_12358"
106184,108277,"Ophio5|2373","XA68_12359"
108742,110448,"Ophio5|2374","XA68_12360"
112328,114298,"Ophio5|2375","XA68_12361"
117353,118945,"Ophio5|2376","XA68_12362"
120104,121597,"Ophio5|2377","XA68_12363"
122458,123671,"Ophio5|2378","XA68_12364"
125180,125797,"Ophio5|2379","XA68_12365"
126551,128928,"Ophio5|2380","XA68_12366"
800,2547,"Ophio5|2381","XA68_12367"
2785,3121,"Ophio5|2382","XA68_12368"
3884,7022,"Ophio5|2383","XA68_12369"
8315,11112,"Ophio5|2384","XA68_12370"
12031,13222,"Ophio5|2385","XA68_12371"
13465,15171,"Ophio5|2386","XA68_12372"
15843,17084,"Ophio5|2387","XA68_12373"
19301,22360,"Ophio5|2388","XA68_12374"
23711,25828,"Ophio5|2389","XA68_12375"
26656,27391,"Ophio5|2390","XA68_12376"
27830,28990,"Ophio5|2391","XA68_12377"
29691,32108,"Ophio5|2392","XA68_12378"
32460,34135,"Ophio5|2393","XA68_12379"
35554,36297,"Ophio5|2394","XA68_12380"
37454,39406,"Ophio5|2395","XA68_12381"
40041,41514,"Ophio5|2396","XA68_12382"
41951,43364,"Ophio5|2397","XA68_12383"
45724,47898,"Ophio5|2398","XA68_12384"
47915,48225,"Ophio5|2399","XA68_12385"
48437,54124,"Ophio5|2400","XA68_12386"
56739,62794,"Ophio5|2401","XA68_12387"
64604,66523,"Ophio5|2402","XA68_12388"
67771,69587,"Ophio5|2403","XA68_12389"
70038,70899,"Ophio5|2404","XA68_12390"
71116,72127,"Ophio5|2405","XA68_12391"
72696,73533,"Ophio5|2406","XA68_12392"
73776,74247,"Ophio5|2407","XA68_12393"
74583,76826,"Ophio5|2408","XA68_12394"
77665,78532,"Ophio5|2409","XA68_12395"
79088,81206,"Ophio5|2410","XA68_12396"
81402,82807,"Ophio5|2411","XA68_12397"
403,789,"Ophio5|2412","XA68_12398"
4235,6517,"Ophio5|2413","XA68_12399"
6716,7540,"Ophio5|2414","XA68_12400"
9452,10970,"Ophio5|2415","XA68_12401"
11191,12648,"Ophio5|2416","XA68_12402"
13240,14004,"Ophio5|2417","XA68_12403"
14252,14936,"Ophio5|2418","XA68_12404"
17140,18246,"Ophio5|2419","XA68_12405"
24381,26731,"Ophio5|2420","XA68_12406"
27413,28255,"Ophio5|2421","XA68_12407"
29654,31440,"Ophio5|2422","XA68_12408"
235,678,"Ophio5|2423","XA68_12409"
501,2238,"Ophio5|2424","XA68_12410"
2885,3226,"Ophio5|2425","XA68_12411"
4578,5147,"Ophio5|2426","XA68_12412"
9090,9411,"Ophio5|2427","XA68_12413"
9799,10521,"Ophio5|2428","XA68_12414"
11072,12502,"Ophio5|2429","XA68_12415"
12795,18731,"Ophio5|2430","XA68_12416"
19041,20912,"Ophio5|2431","XA68_12417"
21533,22565,"Ophio5|2432","XA68_12418"
24402,25734,"Ophio5|2433","XA68_12419"
27363,28178,"Ophio5|2434","XA68_12420"
28555,29187,"Ophio5|2435","XA68_12421"
29773,31630,"Ophio5|2436","XA68_12422"
736,1014,"Ophio5|2437","XA68_12423"
2342,3285,"Ophio5|2438","XA68_12424"
3888,4874,"Ophio5|2439","XA68_12425"
5078,6317,"Ophio5|2440","XA68_12426"
6529,7975,"Ophio5|2441","XA68_12427"
9363,9815,"Ophio5|2442","XA68_12428"
12591,14447,"Ophio5|2443","XA68_12429"
14793,15340,"Ophio5|2444","XA68_12430"
15612,17131,"Ophio5|2445","XA68_12431"
18446,19492,"Ophio5|2446","XA68_12432"
20001,22835,"Ophio5|2447","XA68_12433"
23010,24460,"Ophio5|2448","XA68_12434"
25929,28332,"Ophio5|2449","XA68_12435"
29586,30872,"Ophio5|2450","XA68_12436"
31175,31408,"Ophio5|2451","XA68_12437"
757,2255,"Ophio5|2452","XA68_12438"
3120,4491,"Ophio5|2453","XA68_12439"
4753,5271,"Ophio5|2454","XA68_12440"
5704,7969,"Ophio5|2455","XA68_12441"
7986,8769,"Ophio5|2456","XA68_12442"
9232,11608,"Ophio5|2457","XA68_12443"
12071,13908,"Ophio5|2458","XA68_12444"
14660,16225,"Ophio5|2459","XA68_12445"
17712,19811,"Ophio5|2460","XA68_12446"
20183,21007,"Ophio5|2461","XA68_12447"
21876,26852,"Ophio5|2462","XA68_12448"
27995,28524,"Ophio5|2463","XA68_12449"
29103,29679,"Ophio5|2464","XA68_12450"
30513,31061,"Ophio5|2465","XA68_12451"
1230,3194,"Ophio5|2466","XA68_12452"
4757,6280,"Ophio5|2467","XA68_12453"
7499,7821,"Ophio5|2468","XA68_12454"
8346,9503,"Ophio5|2469","XA68_12455"
10149,12836,"Ophio5|2470","XA68_12456"
13924,16934,"Ophio5|2471","XA68_12457"
17984,18307,"Ophio5|2472","XA68_12458"
18696,19271,"Ophio5|2473","XA68_12459"
20363,21093,"Ophio5|2474","XA68_12460"
21565,22654,"Ophio5|2475","XA68_12461"
23904,24253,"Ophio5|2476","XA68_12462"
25632,27161,"Ophio5|2477","XA68_12463"
292,712,"Ophio5|2478","XA68_12464"
407,1486,"Ophio5|2479","XA68_12465"
3120,4997,"Ophio5|2480","XA68_12466"
6516,8351,"Ophio5|2481","XA68_12467"
8507,10519,"Ophio5|2482","XA68_12468"
13939,17247,"Ophio5|2483","XA68_12469"
17650,19692,"Ophio5|2484","XA68_12470"
20663,22449,"Ophio5|2485","XA68_12471"
22126,22452,"Ophio5|2486",NA
23648,26942,"Ophio5|2487","XA68_12472"
27844,28158,"Ophio5|2488","XA68_12473"
28985,30396,"Ophio5|2489","XA68_12474"
623,2787,"Ophio5|2490","XA68_12475"
3095,4110,"Ophio5|2491","XA68_12476"
5260,6384,"Ophio5|2492","XA68_12477"
7177,10388,"Ophio5|2493","XA68_12478"
12001,13533,"Ophio5|2494","XA68_12479"
14486,16669,"Ophio5|2495","XA68_12480"
17186,18598,"Ophio5|2496","XA68_12481"
20894,21953,"Ophio5|2497","XA68_12482"
22647,25113,"Ophio5|2498","XA68_12483"
25696,25982,"Ophio5|2499","XA68_12484"
26003,31228,"Ophio5|2500","XA68_12485"
487,805,"Ophio5|2501","XA68_12486"
979,1623,"Ophio5|2502","XA68_12487"
1990,5043,"Ophio5|2503","XA68_12488"
6319,9153,"Ophio5|2504","XA68_12489"
14607,16192,"Ophio5|2505","XA68_12490"
17978,18757,"Ophio5|2506","XA68_12491"
18875,19627,"Ophio5|2507","XA68_12492"
20388,20964,"Ophio5|2508","XA68_12493"
22321,23673,"Ophio5|2509","XA68_12494"
23814,24550,"Ophio5|2510","XA68_12495"
26579,27782,"Ophio5|2511","XA68_12496"
28125,30900,"Ophio5|2512","XA68_12497"
29,340,"Ophio5|2513","XA68_12498"
454,1161,"Ophio5|2514","XA68_12499"
4120,5052,"Ophio5|2515","XA68_12500"
5375,6250,"Ophio5|2516","XA68_12501"
6716,7512,"Ophio5|2517","XA68_12502"
8264,10150,"Ophio5|2518","XA68_12503"
11279,11662,"Ophio5|2519","XA68_12504"
11835,12341,"Ophio5|2520","XA68_12505"
12950,13291,"Ophio5|2521","XA68_12506"
15218,16294,"Ophio5|2522","XA68_12507"
17197,19222,"Ophio5|2523","XA68_12508"
19478,21802,"Ophio5|2524","XA68_12509"
29541,30785,"Ophio5|2525","XA68_12510"
62,1596,"Ophio5|2526","XA68_12511"
2295,2672,"Ophio5|2527","XA68_12512"
3214,4989,"Ophio5|2528","XA68_12513"
5427,7635,"Ophio5|2529","XA68_12514"
9641,10709,"Ophio5|2530","XA68_12515"
11048,11568,"Ophio5|2531","XA68_12516"
12077,14900,"Ophio5|2532","XA68_12517"
17159,18060,"Ophio5|2533","XA68_12518"
18434,21858,"Ophio5|2534","XA68_12519"
22848,23981,"Ophio5|2535","XA68_12520"
24670,25149,"Ophio5|2536","XA68_12521"
25671,28459,"Ophio5|2537","XA68_12522"
310,1888,"Ophio5|2538",NA
2351,3800,"Ophio5|2539",NA
5512,6665,"Ophio5|2540",NA
6878,7921,"Ophio5|2541",NA
8796,9740,"Ophio5|2542",NA
10219,11295,"Ophio5|2543",NA
11907,13580,"Ophio5|2544",NA
14786,16744,"Ophio5|2545",NA
17070,20720,"Ophio5|2546",NA
21921,24454,"Ophio5|2547",NA
24657,26228,"Ophio5|2548",NA
26747,28073,"Ophio5|2549",NA
28288,30046,"Ophio5|2550",NA
30411,31646,"Ophio5|2551",NA
31896,32497,"Ophio5|2552",NA
33665,34235,"Ophio5|2553",NA
35012,35769,"Ophio5|2554",NA
35972,37552,"Ophio5|2555",NA
38341,42111,"Ophio5|2556",NA
42625,43542,"Ophio5|2557",NA
44044,45588,"Ophio5|2558",NA
46675,48052,"Ophio5|2559",NA
48954,50128,"Ophio5|2560",NA
50303,51538,"Ophio5|2561",NA
53325,54701,"Ophio5|2562",NA
55051,56313,"Ophio5|2563",NA
59649,61600,"Ophio5|2564",NA
61646,63060,"Ophio5|2565",NA
63586,64780,"Ophio5|2566",NA
66542,67054,"Ophio5|2567",NA
67268,67576,"Ophio5|2568",NA
68648,69703,"Ophio5|2569",NA
70625,71056,"Ophio5|2570",NA
72277,73887,"Ophio5|2571",NA
74293,75919,"Ophio5|2572",NA
77164,78191,"Ophio5|2573",NA
80179,82183,"Ophio5|2574",NA
24,1426,"Ophio5|2575","XA68_12560"
1664,2148,"Ophio5|2576","XA68_12561"
2820,8238,"Ophio5|2577","XA68_12562"
8659,9426,"Ophio5|2578","XA68_12563"
9631,10655,"Ophio5|2579","XA68_12564"
13832,17425,"Ophio5|2580","XA68_12565"
17536,18243,"Ophio5|2581","XA68_12566"
18585,20424,"Ophio5|2582","XA68_12567"
21152,22192,"Ophio5|2583","XA68_12568"
22603,24515,"Ophio5|2584","XA68_12569"
25346,27064,"Ophio5|2585","XA68_12570"
27578,27840,"Ophio5|2586","XA68_12571"
28987,30475,"Ophio5|2587","XA68_12572"
1823,3598,"Ophio5|2588","XA68_12573"
3923,5700,"Ophio5|2589","XA68_12574"
6123,7055,"Ophio5|2590","XA68_12575"
7440,8369,"Ophio5|2591","XA68_12576"
8754,10604,"Ophio5|2592","XA68_12577"
11118,12345,"Ophio5|2593","XA68_12578"
14168,15877,"Ophio5|2594","XA68_12579"
16305,17027,"Ophio5|2595","XA68_12580"
17673,18109,"Ophio5|2596","XA68_12581"
18356,19754,"Ophio5|2597","XA68_12582"
20513,21736,"Ophio5|2598","XA68_12583"
22066,24668,"Ophio5|2599","XA68_12584"
25162,26401,"Ophio5|2600","XA68_12585"
27237,27937,"Ophio5|2601","XA68_12586"
28081,28482,"Ophio5|2602","XA68_12587"
28956,30428,"Ophio5|2603","XA68_12588"
233,5857,"Ophio5|2604","XA68_12589"
9179,11016,"Ophio5|2605","XA68_12590"
11700,14045,"Ophio5|2606","XA68_12591"
16843,17208,"Ophio5|2607","XA68_12592"
19492,21989,"Ophio5|2608","XA68_12593"
23903,24811,"Ophio5|2609","XA68_12594"
25547,27294,"Ophio5|2610","XA68_12595"
27788,29956,"Ophio5|2611","XA68_12596"
27,1394,"Ophio5|2612","XA68_12597"
3800,6999,"Ophio5|2613","XA68_12598"
7265,7799,"Ophio5|2614","XA68_12599"
8918,10079,"Ophio5|2615","XA68_12600"
10486,11449,"Ophio5|2616","XA68_12601"
11708,12310,"Ophio5|2617","XA68_12602"
13033,13457,"Ophio5|2618","XA68_12603"
13640,14859,"Ophio5|2619","XA68_12604"
15444,17791,"Ophio5|2620","XA68_12605"
18148,19482,"Ophio5|2621","XA68_12606"
20306,21827,"Ophio5|2622","XA68_12607"
22648,23806,"Ophio5|2623","XA68_12608"
24508,25464,"Ophio5|2624","XA68_12609"
26280,26864,"Ophio5|2625","XA68_12610"
27729,28313,"Ophio5|2626","XA68_12611"
28674,30101,"Ophio5|2627","XA68_12612"
455,700,"Ophio5|2628","XA68_12613"
63,650,"Ophio5|2629","XA68_12614"
1667,2086,"Ophio5|2630","XA68_12615"
2462,4841,"Ophio5|2631","XA68_12616"
5611,7020,"Ophio5|2632","XA68_12617"
7225,7561,"Ophio5|2633","XA68_12618"
8140,8655,"Ophio5|2634","XA68_12619"
9535,10341,"Ophio5|2635","XA68_12620"
10873,14343,"Ophio5|2636","XA68_12621"
15541,16590,"Ophio5|2637","XA68_12622"
16796,18762,"Ophio5|2638","XA68_12623"
19589,21739,"Ophio5|2639","XA68_12624"
22360,22834,"Ophio5|2640","XA68_12625"
23505,26009,"Ophio5|2641","XA68_12626"
26676,29838,"Ophio5|2642","XA68_12627"
32,1985,"Ophio5|2643","XA68_12628"
1997,2638,"Ophio5|2644","XA68_12629"
4419,5948,"Ophio5|2645","XA68_12630"
6782,8184,"Ophio5|2646","XA68_12631"
8425,9778,"Ophio5|2647","XA68_12632"
11257,11911,"Ophio5|2648","XA68_12633"
12101,14051,"Ophio5|2649","XA68_12634"
14501,16517,"Ophio5|2650","XA68_12635"
16864,18166,"Ophio5|2651","XA68_12636"
20368,21534,"Ophio5|2652","XA68_12637"
21680,22654,"Ophio5|2653","XA68_12638"
23754,25153,"Ophio5|2654","XA68_12639"
25391,27532,"Ophio5|2655","XA68_12640"
28248,30160,"Ophio5|2656","XA68_12641"
78,502,"Ophio5|2657","XA68_12642"
1646,2788,"Ophio5|2658","XA68_12643"
3365,3653,"Ophio5|2659","XA68_12644"
4229,5035,"Ophio5|2660","XA68_12645"
5099,5863,"Ophio5|2661","XA68_12646"
6613,8340,"Ophio5|2662","XA68_12647"
8726,9730,"Ophio5|2663","XA68_12648"
10244,10777,"Ophio5|2664","XA68_12649"
11225,12652,"Ophio5|2665","XA68_12650"
12730,13554,"Ophio5|2666","XA68_12651"
14345,15148,"Ophio5|2667","XA68_12652"
15668,16129,"Ophio5|2668","XA68_12653"
17680,18063,"Ophio5|2669","XA68_12654"
18768,19509,"Ophio5|2670","XA68_12655"
19683,21626,"Ophio5|2671","XA68_12656"
22905,25894,"Ophio5|2672","XA68_12657"
26404,28594,"Ophio5|2673","XA68_12658"
28686,30151,"Ophio5|2674","XA68_12659"
832,3117,"Ophio5|2675","XA68_12660"
3603,4247,"Ophio5|2676","XA68_12661"
6746,8974,"Ophio5|2677","XA68_12662"
9227,10578,"Ophio5|2678","XA68_12663"
11944,13253,"Ophio5|2679","XA68_12664"
13503,14290,"Ophio5|2680","XA68_12665"
14427,16333,"Ophio5|2681","XA68_12666"
17026,20033,"Ophio5|2682","XA68_12667"
21216,24117,"Ophio5|2683","XA68_12668"
25090,26091,"Ophio5|2684","XA68_12669"
27239,28998,"Ophio5|2685","XA68_12670"
158,2413,"Ophio5|2686","XA68_12671"
2770,3766,"Ophio5|2687","XA68_12672"
3769,5431,"Ophio5|2688","XA68_12673"
7089,8567,"Ophio5|2689","XA68_12674"
9151,9788,"Ophio5|2690","XA68_12675"
10490,10823,"Ophio5|2691","XA68_12676"
11899,14826,"Ophio5|2692","XA68_12677"
15116,16458,"Ophio5|2693","XA68_12678"
17634,19091,"Ophio5|2694","XA68_12679"
19856,21667,"Ophio5|2695","XA68_12680"
22579,23634,"Ophio5|2696","XA68_12681"
24033,26020,"Ophio5|2697","XA68_12682"
27059,27554,"Ophio5|2698","XA68_12683"
27581,29724,"Ophio5|2699","XA68_12684"
199,1650,"Ophio5|2700","XA68_12685"
1954,2562,"Ophio5|2701","XA68_12686"
3439,5939,"Ophio5|2702","XA68_12687"
8127,9166,"Ophio5|2703","XA68_12688"
10150,12131,"Ophio5|2704","XA68_12689"
13088,16415,"Ophio5|2705","XA68_12690"
17458,21162,"Ophio5|2706","XA68_12691"
21444,22363,"Ophio5|2707","XA68_12692"
23139,26817,"Ophio5|2708","XA68_12693"
26926,29774,"Ophio5|2709","XA68_12694"
56,535,"Ophio5|2710","XA68_12695"
386,1422,"Ophio5|2711","XA68_12696"
1986,2479,"Ophio5|2712","XA68_12697"
3194,4156,"Ophio5|2713","XA68_12698"
4760,7519,"Ophio5|2714","XA68_12699"
7574,9047,"Ophio5|2715",NA
9529,10378,"Ophio5|2716","XA68_12700"
10527,13573,"Ophio5|2717","XA68_12701"
13912,15617,"Ophio5|2718","XA68_12702"
15802,17760,"Ophio5|2719","XA68_12703"
20291,22567,"Ophio5|2720","XA68_12704"
23201,24571,"Ophio5|2721","XA68_12705"
